i,format,proj_type,time,time_preload,selectivity
0,parquet,all,7488,7195,0.1
0,parquet,all,7446,7286,0.1
0,parquet,all,7440,7167,0.1
0,parquet,all,7424,7161,0.1
0,parquet,all,7378,7233,0.1
0,parquet,all,7403,7252,0.1
0,parquet,all,7538,7217,0.1
0,parquet,all,7554,7241,0.1
0,parquet,all,7472,7187,0.1
0,parquet,all,7470,7236,0.1
0,parquet,all,3314,3023,0.01
0,parquet,all,3263,3038,0.01
0,parquet,all,3280,3024,0.01
0,parquet,all,3304,3035,0.01
0,parquet,all,3262,3006,0.01
0,parquet,all,3268,3035,0.01
0,parquet,all,3290,3050,0.01
0,parquet,all,3334,3022,0.01
0,parquet,all,3268,3035,0.01
0,parquet,all,3316,3063,0.01
0,parquet,all,2821,2509,0.001
0,parquet,all,2784,2530,0.001
0,parquet,all,2784,2551,0.001
0,parquet,all,2794,2527,0.001
0,parquet,all,2744,2544,0.001
0,parquet,all,2808,2556,0.001
0,parquet,all,2760,2542,0.001
0,parquet,all,2792,2550,0.001
0,parquet,all,2778,2531,0.001
0,parquet,all,2764,2586,0.001
0,parquet,all,2712,2513,0.0001
0,parquet,all,2691,2462,0.0001
0,parquet,all,2659,2424,0.0001
0,parquet,all,2666,2456,0.0001
0,parquet,all,2708,2424,0.0001
0,parquet,all,2709,2493,0.0001
0,parquet,all,2712,2470,0.0001
0,parquet,all,2707,2517,0.0001
0,parquet,all,2715,2478,0.0001
0,parquet,all,2708,2458,0.0001
0,parquet,all,2080,1807,1e-05
0,parquet,all,2224,1932,1e-05
0,parquet,all,2419,2136,1e-05
0,parquet,all,2153,1872,1e-05
0,parquet,all,2132,1873,1e-05
0,parquet,all,2351,2076,1e-05
0,parquet,all,2529,2285,1e-05
0,parquet,all,2568,2326,1e-05
0,parquet,all,2561,2355,1e-05
0,parquet,all,2130,1916,1e-05
0,parquet,all,1796,1577,5e-06
0,parquet,all,1818,1539,5e-06
0,parquet,all,1812,1566,5e-06
0,parquet,all,1712,1458,5e-06
0,parquet,all,1766,1526,5e-06
0,parquet,all,1760,1533,5e-06
0,parquet,all,2086,1802,5e-06
0,parquet,all,1787,1519,5e-06
0,parquet,all,1852,1616,5e-06
0,parquet,all,1778,1505,5e-06
0,parquet,all,1180,981,1e-06
0,parquet,all,1198,1022,1e-06
0,parquet,all,1163,984,1e-06
0,parquet,all,1088,925,1e-06
0,parquet,all,1333,1120,1e-06
0,parquet,all,1073,913,1e-06
0,parquet,all,999,847,1e-06
0,parquet,all,1182,1004,1e-06
0,parquet,all,1256,1074,1e-06
0,parquet,all,1103,937,1e-06
0,parquet,all,5589,5509,1.0
1,parquet,all,7428,7266,0.1
1,parquet,all,7453,7129,0.1
1,parquet,all,7414,7166,0.1
1,parquet,all,7412,7218,0.1
1,parquet,all,7486,7328,0.1
1,parquet,all,7445,7209,0.1
1,parquet,all,7406,7161,0.1
1,parquet,all,7494,7228,0.1
1,parquet,all,7413,7241,0.1
1,parquet,all,7481,7233,0.1
1,parquet,all,3260,3017,0.01
1,parquet,all,3269,3040,0.01
1,parquet,all,3260,3051,0.01
1,parquet,all,3271,3052,0.01
1,parquet,all,3309,3069,0.01
1,parquet,all,3268,3049,0.01
1,parquet,all,3278,3070,0.01
1,parquet,all,3242,3064,0.01
1,parquet,all,3248,3054,0.01
1,parquet,all,3297,3037,0.01
1,parquet,all,2785,2544,0.001
1,parquet,all,2781,2531,0.001
1,parquet,all,2767,2553,0.001
1,parquet,all,2760,2546,0.001
1,parquet,all,2765,2534,0.001
1,parquet,all,2775,2530,0.001
1,parquet,all,2736,2539,0.001
1,parquet,all,2788,2527,0.001
1,parquet,all,2759,2555,0.001
1,parquet,all,2784,2524,0.001
1,parquet,all,2642,2448,0.0001
1,parquet,all,2651,2439,0.0001
1,parquet,all,2654,2444,0.0001
1,parquet,all,2694,2489,0.0001
1,parquet,all,2669,2418,0.0001
1,parquet,all,2746,2554,0.0001
1,parquet,all,2773,2472,0.0001
1,parquet,all,2656,2467,0.0001
1,parquet,all,2744,2476,0.0001
1,parquet,all,2707,2454,0.0001
1,parquet,all,2086,1818,1e-05
1,parquet,all,2163,1909,1e-05
1,parquet,all,2386,2166,1e-05
1,parquet,all,2148,1885,1e-05
1,parquet,all,2093,1836,1e-05
1,parquet,all,2343,2072,1e-05
1,parquet,all,2506,2291,1e-05
1,parquet,all,2561,2329,1e-05
1,parquet,all,2597,2342,1e-05
1,parquet,all,2171,1911,1e-05
1,parquet,all,1793,1546,5e-06
1,parquet,all,1794,1594,5e-06
1,parquet,all,1758,1563,5e-06
1,parquet,all,1703,1436,5e-06
1,parquet,all,1744,1504,5e-06
1,parquet,all,1753,1543,5e-06
1,parquet,all,2044,1807,5e-06
1,parquet,all,1772,1540,5e-06
1,parquet,all,1841,1554,5e-06
1,parquet,all,1778,1526,5e-06
1,parquet,all,1189,983,1e-06
1,parquet,all,1205,1021,1e-06
1,parquet,all,1146,988,1e-06
1,parquet,all,1103,931,1e-06
1,parquet,all,1358,1141,1e-06
1,parquet,all,1081,925,1e-06
1,parquet,all,1006,857,1e-06
1,parquet,all,1198,1003,1e-06
1,parquet,all,1279,1059,1e-06
1,parquet,all,1110,942,1e-06
1,parquet,all,5627,5557,1.0
2,parquet,all,7442,7212,0.1
2,parquet,all,7412,7190,0.1
2,parquet,all,7377,7174,0.1
2,parquet,all,7586,7299,0.1
2,parquet,all,7516,7143,0.1
2,parquet,all,7470,7323,0.1
2,parquet,all,7421,7218,0.1
2,parquet,all,7405,7253,0.1
2,parquet,all,7509,7172,0.1
2,parquet,all,7430,7124,0.1
2,parquet,all,3256,3012,0.01
2,parquet,all,3222,2995,0.01
2,parquet,all,3279,3017,0.01
2,parquet,all,3267,3002,0.01
2,parquet,all,3357,3089,0.01
2,parquet,all,3266,3039,0.01
2,parquet,all,3274,2997,0.01
2,parquet,all,3299,3080,0.01
2,parquet,all,3298,3049,0.01
2,parquet,all,3288,3033,0.01
2,parquet,all,2775,2554,0.001
2,parquet,all,2754,2543,0.001
2,parquet,all,2734,2555,0.001
2,parquet,all,2740,2528,0.001
2,parquet,all,2777,2557,0.001
2,parquet,all,2784,2493,0.001
2,parquet,all,2746,2555,0.001
2,parquet,all,2783,2551,0.001
2,parquet,all,2806,2556,0.001
2,parquet,all,2790,2548,0.001
2,parquet,all,2666,2439,0.0001
2,parquet,all,2673,2402,0.0001
2,parquet,all,2692,2467,0.0001
2,parquet,all,2654,2452,0.0001
2,parquet,all,2695,2453,0.0001
2,parquet,all,2715,2447,0.0001
2,parquet,all,2706,2449,0.0001
2,parquet,all,2684,2452,0.0001
2,parquet,all,2661,2461,0.0001
2,parquet,all,2657,2475,0.0001
2,parquet,all,2057,1821,1e-05
2,parquet,all,2194,1944,1e-05
2,parquet,all,2392,2118,1e-05
2,parquet,all,2168,1900,1e-05
2,parquet,all,2123,1850,1e-05
2,parquet,all,2345,2067,1e-05
2,parquet,all,2530,2296,1e-05
2,parquet,all,2559,2369,1e-05
2,parquet,all,2870,2364,1e-05
2,parquet,all,2163,1898,1e-05
2,parquet,all,1804,1514,5e-06
2,parquet,all,1783,1519,5e-06
2,parquet,all,1781,1562,5e-06
2,parquet,all,1693,1463,5e-06
2,parquet,all,1731,1509,5e-06
2,parquet,all,1783,1524,5e-06
2,parquet,all,2064,1811,5e-06
2,parquet,all,1755,1564,5e-06
2,parquet,all,1856,1568,5e-06
2,parquet,all,1795,1561,5e-06
2,parquet,all,1179,969,1e-06
2,parquet,all,1207,1021,1e-06
2,parquet,all,1151,990,1e-06
2,parquet,all,1093,936,1e-06
2,parquet,all,1354,1110,1e-06
2,parquet,all,1071,940,1e-06
2,parquet,all,1026,868,1e-06
2,parquet,all,1207,986,1e-06
2,parquet,all,1277,1072,1e-06
2,parquet,all,1117,948,1e-06
2,parquet,all,5665,5464,1.0
